title,price,reg_price,rate,rate_count,text,specs
Электрический котел отопления Комфорт МК 5 кВт,50041,89200,,0,"Электрический котел Интоис Комфорт МК – это надежный и эффективный отопительный электрокотел, который предназначен для обогрева индивидуальных жилых домов, дачных домиков, торговых и офисных помещений, а также других зданий и сооружений. Основные характеристики котла: Тепловая мощность: 5 кВт.; Ступени переключения: 2,5 кВт х 2; Площадь отапливаемого помещения: до 50 м2; Вид управления: механический; Давление рабочее: до 3 атм; Циркуляционный насос: 25/40; Расширительный бак: 6 л.; Присоединительные размеры патрубков: 1''.
Преимущества котла для отопления дома: Регулировка температуры воздуха от +5°С до +35°С.; Схема защиты блока управления от перенапряжения сети.; Установлены датчики температуры теплоносителя, воздуха в помещении который позволяет оптимизировать работу котла и повысить его энергоэффективность.; Есть возможность работы с датчиком температуры ГВС (приобретаются отдельно).
Котел мощностью 5 кВт имеет компактные размеры (40х58х30 см) и небольшой вес (25 кг), что позволяет легко установить его в любом помещении. Встроенный циркуляционный насос обеспечивает быстрый прогрев теплоносителя и равномерное распределение тепла по всей системе отопления.
Группа безопасности: предохранительный сбросной клапан, манометр, воздухоотводчик. 
Отопительный котел работает от однофазной сети напряжением 220В.
Котел электрический отопительный Комфорт MK – это надежное и экономичное решение для обогрева помещений любого типа. Благодаря своей функциональности и простоте использования, котел станет незаменимым помощником в создании комфортной атмосферы в вашем доме или офисе.
Котлы отопления от Российского производителя, гарантия качества.
В  наличии большой ассортимент электрокотлов, разной комплектации. Переходите в наш магазин и подберите котел отопления согласно ваших требований.
","{""Ширина предмета"": ""40 см"", ""Вес с упаковкой (кг)"": ""27 кг"", ""Высота предмета"": ""58 см"", ""Глубина предмета"": ""30 см"", ""Вес без упаковки (кг)"": ""25 кг"", ""Длина упаковки"": ""46 см"", ""Высота упаковки"": ""70 см"", ""Ширина упаковки"": ""34 см"", ""Гарантийный срок"": ""1.5 года"", ""Модель"": ""Комфорт МК"", ""Температура горячей воды (°C)"": ""35 C"", ""Газ-контроль"": ""нет"", ""Потребляемая мощность"": ""5 Вт"", ""Рекомендуемая площадь помещения (кв.м)"": ""50 кв. м"", ""Автоподжиг"": ""нет"", ""Страна производства"": ""Россия"", ""Тип отопительного котла"": ""электрический"", ""Тепловая мощность"": ""5 квт"", ""Количество контуров"": ""1; одноконтурный"", ""Тип камеры сгорания"": ""нет"", ""Варианты установки"": ""настенный""}"
Электрический котел Ресурс ЭВПМ - 18 А,12282,14450,,0,"Электрический котел применяется в открытых и закрытых системах водоснабжения для отопления жилых и производственных помещений. Нагрев происходит за счет встроенных трубчатых электронагревателей. Водонагреватель состоит из стального корпуса, внутри которого находится резервуар с блоком трубчатых электронагревателей ТЭН. Также электрокотел оснащен пультом управления, предназначенным для регулирования температуры нагрева теплоносителя. Электрокотлы могут использоваться как автономно, так и совместно с котлами, работающими на твердом топливе.  Э","{""Вес без упаковки (кг)"": ""24 кг"", ""Длина упаковки"": ""18 см"", ""Высота упаковки"": ""23 см"", ""Ширина упаковки"": ""70 см"", ""Модель"": ""ЭВПМ"", ""Тип отопительного котла"": ""электрический"", ""Страна производства"": ""Россия""}"
Электрический котел Ресурс ЭВПМ - 15 А,7947,9350,,0,"Электрический котел применяется в открытых и закрытых системах водоснабжения для отопления жилых и производственных помещений. Нагрев происходит за счет встроенных трубчатых электронагревателей. Водонагреватель состоит из стального корпуса, внутри которого находится резервуар с блоком трубчатых электронагревателей ТЭН. Также электрокотел оснащен пультом управления, предназначенным для регулирования температуры нагрева теплоносителя. Электрокотлы могут использоваться как автономно, так и совместно с котлами, работающими на твердом топливе. ","{""Модель"": ""ЭВПМ"", ""Тип отопительного котла"": ""электрический"", ""Страна производства"": ""Россия"", ""Вес без упаковки (кг)"": ""20 кг"", ""Длина упаковки"": ""18 см"", ""Высота упаковки"": ""23 см"", ""Ширина упаковки"": ""70 см""}"
Электрический котел Ресурс ЭВПМ - 6,5346,6290,,0,"Элетрокотлы ЭВПМ предназначены для водяного отопления зданий имеющих открытую или закрытую систему отопления, работающую при давлении не более 0,25 МПа, при напряжении трехфазной сети 380В или однофазной сети 220В.

Водонагреватели могут использоваться автономно или совместно с отопительными котлами, работающими на твердом топливе. Электрокотлы предназначены для эксплуатации в отапливаемых помещениях с невзрывоопасной средой при температуре окружающего воздуха от +1 гр.ц. до +35 гр.ц. и относительной влажности воздуха не более 80% при температуре +25 гр.ц. Электрокотлы оснащены встраиваемым пультом управления, предназначенным для регулирования температуры теплоносителя.","{""Вес без упаковки (кг)"": ""10 кг"", ""Вес с упаковкой (кг)"": ""10 кг"", ""Длина упаковки"": ""20 см"", ""Высота упаковки"": ""55 см"", ""Ширина упаковки"": ""25 см"", ""Варианты установки"": ""настенный"", ""Модель"": ""ЭВПМ - 6""}"
Датчик температуры NTC 39810220,591,1071,,0,"Датчики температуры для котлов представляют собой терморезисторы, сопротивление которых изменяется в результате их нагрева. Во всех современных газовых котлах используются датчики NTC-типа. Датчик температуры NTC накладной T7335D1016 на 3/4 для Ferroli Honeywell. 
Подходит для котлов: 
Ferroli Domina; 
Ferroli Domicompact; 
Ferroli New Elite; 
Ferroli Arena C / F; 
Ferroli Diva C / F; 
Bosch GAZ 3000 W WBN3000. ","{""Гарантийный срок"": ""6 месяцев"", ""Модель"": ""ARENA; Diva; Domina"", ""Тип отопительного котла"": ""газовый"", ""Страна производства"": ""Италия"", ""Варианты установки"": ""настенный"", ""Вес без упаковки (кг)"": ""0.03 кг"", ""Вес с упаковкой (кг)"": ""0.05 кг"", ""Длина упаковки"": ""15 см"", ""Высота упаковки"": ""5 см"", ""Ширина упаковки"": ""10 см""}"
Блок ТЭН 9 кВт для котла WARMOS Classic 27,8806,10361,,0,"Блок ТЭН 9 кВт для котла Эван WARMOS Classic 27 один из самых важных элементов отопительного электрического котла Эван Warmos Classic. Мы предлагаем только оригинальные ТЭНы для котла Эван Warmos Classic, получая их непосредственно от производителя. Только применение оригинальныого ТЭН гарантирует полное восстановление ресурса котла. Рекомендуем избегать дешевых неоригинальных запасных частей. Позволяет заменить ТЭН в котлах Эван: Warmos Classic 27 любого года выпуска.","{""Длина упаковки"": ""10 см"", ""Высота упаковки"": ""10 см"", ""Ширина упаковки"": ""10 см""}"
Электрокотел 21П (21 кВт) 380 В,41769,49140,4.2,5,"Электрический котел РЭКО является надежным и эффективным отопительным прибором, предназначенным для обогрева жилых помещений. Он оснащен недельным программированием и ЖК-дисплеем, что упрощает процесс управления температурой. Интеллектуальная система управления позволяет контролировать температуры теплоносителя и воздуха с высокой точностью.

Котел имеет счетчик расхода электроэнергии и автоматическую систему управления группами ТЭНов, что гарантирует эффективное использование энергии. Также имеется возможность ограничения потребляемой мощности и плавной регулировки эффективной мощности. Функции защиты от замерзания и перегрева обеспечивают безопасность использования котла. Опционально возможно подключение теплого пола.

Компактный размер и легкий вес котла делают его удобным для монтажа и перемещения. Благодаря высокой энергоэффективности и КПД, достигающему 99%, котел РЭКО является оптимальным выбором для отопления жилых помещений.","{""Страна производства"": ""Россия"", ""Варианты установки"": ""настенный"", ""Тип отопительного котла"": ""электрический"", ""Тепловая мощность"": ""21 квт"", ""Количество контуров"": ""1"", ""Рекомендуемая площадь помещения (кв.м)"": ""210 кв. м"", ""Потребляемая мощность"": ""21000 Вт"", ""Вес с упаковкой (кг)"": ""22.8 кг"", ""Высота предмета"": ""51.5 см"", ""Глубина предмета"": ""23.6 см"", ""Ширина предмета"": ""40.5 см"", ""Вес без упаковки (кг)"": ""22 кг"", ""Длина упаковки"": ""45 см"", ""Высота упаковки"": ""58 см"", ""Ширина упаковки"": ""28 см"", ""Модель"": ""21П"", ""Гарантийный срок"": ""2 года""}"
Электрокотел 18П (18 кВт) 380 В,40596,47760,4.2,5,"Электрический котел РЭКО является надежным и эффективным отопительным прибором, предназначенным для обогрева жилых помещений. Он оснащен недельным программированием и ЖК-дисплеем, что упрощает процесс управления температурой. Интеллектуальная система управления позволяет контролировать температуры теплоносителя и воздуха с высокой точностью.

Котел имеет счетчик расхода электроэнергии и автоматическую систему управления группами ТЭНов, что гарантирует эффективное использование энергии. Также имеется возможность ограничения потребляемой мощности и плавной регулировки эффективной мощности. Функции защиты от замерзания и перегрева обеспечивают безопасность использования котла. Опционально возможно подключение теплого пола.

Компактный размер и легкий вес котла делают его удобным для монтажа и перемещения. Благодаря высокой энергоэффективности и КПД, достигающему 99%, котел РЭКО является оптимальным выбором для отопления жилых помещений.","{""Глубина предмета"": ""23.6 см"", ""Вес с упаковкой (кг)"": ""22.8 кг"", ""Высота предмета"": ""51.5 см"", ""Вес без упаковки (кг)"": ""22 кг"", ""Ширина предмета"": ""40.5 см"", ""Длина упаковки"": ""45 см"", ""Высота упаковки"": ""58 см"", ""Ширина упаковки"": ""28 см"", ""Варианты установки"": ""настенный"", ""Рекомендуемая площадь помещения (кв.м)"": ""180 кв. м"", ""Потребляемая мощность"": ""18000 Вт"", ""Количество контуров"": ""1"", ""Страна производства"": ""Россия"", ""Тепловая мощность"": ""18 кВт"", ""Тип отопительного котла"": ""электрический"", ""Модель"": ""18П"", ""Гарантийный срок"": ""2 года""}"
"Настенный газовый котел Hi-Therm OPTIMUS 12, 12 кВт",63232,74391,,0,"Настенный газовый котел Hi-Therm OPTIMUS 12 кВт - бытовой газовый котел с закрытой камерой сгорания и подвесным типом монтажа. Оснащен двумя теплообменниками, поэтому подходит для отопления и подачи горячего водоснабжения для бытовых нужд. Основной теплообменник выполнен из меди, что ускоряет нагрев теплоносителя. Антикоррозийное покрытие защищает металл от окисления. Вторичный теплообменник для контура ГВС также выполнен из меди. Особенности:- Функции: автодиагностика, защита от замерзания, защита от блокировки насоса, защита от перегрева, манометр - Защита: газ-контроль, предохранительный клапан, воздухоотводчик - Патрубок подключения газа и отопления 3/4""- КПД: 92.9%- Патрубок подключения контура ГВС 1/2""- Диаметр дымохода 60/100 мм- Макс. Расход природного газа 1,48 куб. м/час - Макс. Расход сжиженного газа 1.02 кг/час- Встроенный циркуляционный насос- Встроенный расширительный бак- Материал первичного теплообменника: медь- Управление: электронное.","{""Вес с упаковкой (кг)"": ""33.8 кг"", ""Вес без упаковки (кг)"": ""31 кг"", ""Высота предмета"": ""73 см"", ""Глубина предмета"": ""34.5 см"", ""Ширина предмета"": ""40.3 см"", ""Длина упаковки"": ""35 см"", ""Высота упаковки"": ""41 см"", ""Ширина упаковки"": ""35 см"", ""Температура горячей воды (°C)"": ""55 C"", ""Рекомендуемая площадь помещения (кв.м)"": ""120 кв. м"", ""Средний поток теплой воды ( T 50 °C) (л/мин)"": ""10.2 л/мин"", ""Тип отопительного котла"": ""газовый"", ""Автоподжиг"": ""да"", ""Страна производства"": ""Турция"", ""Варианты установки"": ""настенный"", ""Количество контуров"": ""2"", ""Тепловая мощность"": ""12 кВт"", ""Тип камеры сгорания"": ""закрытая"", ""Газ-контроль"": ""да"", ""Гарантийный срок"": ""Гарантия 3 года"", ""Модель"": ""OPTIMUS 12""}"
фильтр для котла отопления,3570,4200,,0,"Сменный фильтрующий элемент ( Siku 50-75 мКм ) для топливных фильтров фирмы AFRISO , Oventrop . В упаковке 5 штук.","{""Тип камеры сгорания"": ""закрытая"", ""Страна производства"": ""Германия"", ""Тип отопительного котла"": ""жидкотопливный"", ""Вес с упаковкой (кг)"": ""0.5 кг"", ""Вес без упаковки (кг)"": ""0.2 кг"", ""Ширина предмета"": ""3.8 см"", ""Высота предмета"": ""7 см"", ""Длина упаковки"": ""20 см"", ""Высота упаковки"": ""6 см"", ""Ширина упаковки"": ""20 см"", ""Гарантийный срок"": ""1 год"", ""Модель"": ""Sicu 50-70 мКм""}"
Расширительный бак 8л резьба 3/8 квадрат Winkelmann,9225,16697,,0,"Расширительный бак устанавливается в отопительные системы и предназначается для сбора жидкости, которая нагревается и расширяется. Конструкция является обязательным элементом в системе отопления и изготавливается из качественного металла, который способен выдерживать высокие температуры, давление и противостоять коррозии. Расширительный бак 8л резьба 3/8 квадрат Winkelmann 2206200. Подходит для котлов: Viessmann Vitodens 100 WB1B 26K;Viessmann Vitodens 100 WB1B 35K.","{""Гарантийный срок"": ""6 месяцев"", ""Модель"": ""Vitodens 100"", ""Длина упаковки"": ""50 см"", ""Высота упаковки"": ""10 см"", ""Ширина упаковки"": ""50 см""}"
"Котел электрический Эпо ""Стандарт Эконом""  9,45 380",22015,25900,,0,"Компания Эван занимается производством и разработкой широкого спектра отопительного оборудования: электрические и твердотопливные котлы, накопительные и электроводонагреватели, тепловые насосы и теплонакопители. В настоящее время компания входит в состав международного концерна NIBE Industrial AB. Сеть представительств компании насчитывает около 110 организаций, как в России, так и в странах СНГ.

Электрические отопители выпускает в пяти классах, от класса эконом до класса люкс. Котел Эван ЭПО-9.45 относится к классу «Стандарт-Эконом». Он используется для отопления жилых, производственных и других помещений небольшой площади. Котел может быть как основным, так и резервным источником отопления. Его рекомендуется эксплуатировать в помещениях с естественной вентиляцией воздуха.

Котел Эван ЭПО-9.45 относится к приборам с первым классом защиты от электрического тока и подключается к однофазной трехпроводной электрической сети.

Котел состоит из корпуса с входными и выходными патрубками, крышки с ТЭНом из нержавеющей стали и регулятором температуры. Прибор устанавливается на стену в вертикальном положении. В качестве теплоносителя разрешается использовать воду или низкотемпературную жидкость без механических примесей.

Основными отличительными особенностями электроотопителя Эван ЭПО-9.45 является наличие аварийного термовыключателя, три пульта управления (аналоговый, электронный, модернизированный), а также экологичность, полная автоматизация управления и низкая стоимость.

ТЭНы из нержавеющей стали Backer (Чехия). Регулировка температуры теплоносителя в диапазоне от 30 до 85°С. Возможность использовать в качестве теплоносителя как воду, так и незамерзающие жидкости, сертифицированные для систем отопления. Возможно использовать в системах «теплый пол» при условии установки смесительного клапана. Выносной пульт управления","{""Тип отопительного котла"": ""электрический"", ""Рекомендуемая площадь помещения (кв.м)"": ""100 кв. м"", ""Модель"": ""Стандарт Эконом"", ""Вес без упаковки (кг)"": ""12 кг"", ""Длина упаковки"": ""27 см"", ""Высота упаковки"": ""56 см"", ""Ширина упаковки"": ""15 см""}"
Газовый котел отопления настенный MIZUDO M36ТH,75026,88266,4.2,5,"Котел газовый MIZUDO M36ТH с трехходовым клапаном - ваш надежный помощник в отоплении и водоснабжении. С его помощью вы сможете создать комфортные условия в вашем доме или офисе. Особенности этого котла поразят вас своей функциональностью и удобством использования. Малогабаритный и эргономичный дизайн делают его удобным для установки даже в небольших помещениях. Интуитивная панель управления и цветной LCD дисплей облегчают настройку и контроль. Он обладает высокой надежностью и качественной сборкой. Латунная гидрогруппа и медные патрубки обеспечивают долгую и бесперебойную работу. Одной из главных особенностей является автоматическая модуляция пламени горелки, что позволяет сэкономить энергию. Теплообменник из высококачественной меди с антикоррозийным покрытием гарантирует долговечность и эффективность работы. С помощью бойлера вы сможете увеличить производительность горячей воды. Газовый котел обладает стойкостью к накипи и коррозии благодаря защите от избыточного давления и перегрева. Безопасность использования котла обеспечивается несколькими степенями защиты, а также предохранительным клапаном давления воды. Котел имеет возможность работы на сжиженном газе, что делает его универсальным для различных условий. Технология Hot Restart сохраняет память параметров, а режим работы с теплыми полами обеспечивает дополнительный комфорт. Качественные комплектующие, применяемые в европейских топ-брендах, гарантируют долговечность и надежность. Высокая ремонтопригодность и легкий доступ к его узлам позволяют быстро и легко проводить обслуживание и ремонт. Отопительный прибор обеспечит вам комфортные условия и сэкономит ваши затраты на энергоносители. Низкий уровень шума до 32 децибел делает его незаметным в вашей квартире или на даче. ","{""Страна производства"": ""Китай"", ""Рекомендуемая площадь помещения (кв.м)"": ""360 кв. м"", ""Тип камеры сгорания"": ""закрытая"", ""Количество контуров"": ""1"", ""Тип отопительного котла"": ""газовый"", ""Потребляемая мощность"": ""36000 Вт"", ""Гарантийный срок"": ""3 года"", ""Модель"": ""M36ТH; одноконтурный; с трехходовым клапаном"", ""Длина упаковки"": ""45 см"", ""Высота упаковки"": ""37 см"", ""Ширина упаковки"": ""78 см""}"
Газовый котел отопления настенный Mizudo M40TH,71961,84660,4.2,5,"Котел газовый MIZUDO M40ТH с трехходовым клапаном - ваш надежный помощник в отоплении и водоснабжении. С его помощью вы сможете создать комфортные условия в вашем доме или офисе. Особенности этого котла поразят вас своей функциональностью и удобством использования. Малогабаритный и эргономичный дизайн делают его удобным для установки даже в небольших помещениях. Интуитивная панель управления и цветной LCD дисплей облегчают настройку и контроль. Он обладает высокой надежностью и качественной сборкой. Латунная гидрогруппа и медные патрубки обеспечивают долгую и бесперебойную работу. Одной из главных особенностей является автоматическая модуляция пламени горелки, что позволяет сэкономить энергию. Теплообменник из высококачественной меди с антикоррозийным покрытием гарантирует долговечность и эффективность работы. С помощью бойлера вы сможете увеличить производительность горячей воды. Газовый котел обладает стойкостью к накипи и коррозии благодаря защите от избыточного давления и перегрева. Безопасность использования котла обеспечивается несколькими степенями защиты, а также предохранительным клапаном давления воды. Котел имеет возможность работы на сжиженном газе, что делает его универсальным для различных условий. Технология Hot Restart сохраняет память параметров, а режим работы с теплыми полами обеспечивает дополнительный комфорт. Качественные комплектующие, применяемые в европейских топ-брендах, гарантируют долговечность и надежность. Высокая ремонтопригодность и легкий доступ к его узлам позволяют быстро и легко проводить обслуживание и ремонт. Отопительный прибор обеспечит вам комфортные условия и сэкономит ваши затраты на энергоносители. Низкий уровень шума до 32 децибел делает его незаметным в вашей квартире или на даче. ","{""Тип камеры сгорания"": ""закрытая"", ""Рекомендуемая площадь помещения (кв.м)"": ""400 кв. м"", ""Варианты установки"": ""настенный"", ""Потребляемая мощность"": ""40000 Вт"", ""Страна производства"": ""Китай"", ""Тип отопительного котла"": ""газовый"", ""Модель"": ""M40TH"", ""Гарантийный срок"": ""3 года"", ""Длина упаковки"": ""45 см"", ""Высота упаковки"": ""37 см"", ""Ширина упаковки"": ""78 см""}"
Электрический котел отопления Комфорт МК 18 кВт,58792,104800,,0,"Электрический котел Интоис Комфорт МК – это надежный и эффективный отопительный электрокотел, который предназначен для обогрева индивидуальных жилых домов, дачных домиков, торговых и офисных помещений, а также других зданий и сооружений. Основные характеристики котла: Тепловая мощность: 18 кВт.; Ступени переключения: 3 кВт х 6; Площадь отапливаемого помещения: до 180 м2; Вид управления: механический; Давление рабочее: до 3 атм; Циркуляционный насос: 25/40; Расширительный бак: 6 л.; Присоединительные размеры патрубков: 1''.
Преимущества котла для отопления дома: Регулировка температуры воздуха от +5°С до +35°С.; Схема защиты блока управления от перенапряжения сети.; Установлены датчики температуры теплоносителя, воздуха в помещении который позволяет оптимизировать работу котла и повысить его энергоэффективность.; Есть возможность работы с датчиком температуры ГВС (приобретаются отдельно).
Котел мощностью 18 кВт имеет компактные размеры (40х58х30 см) и небольшой вес (25 кг), что позволяет легко установить его в любом помещении. Встроенный циркуляционный насос обеспечивает быстрый прогрев теплоносителя и равномерное распределение тепла по всей системе отопления.
Группа безопасности: предохранительный сбросной клапан, манометр, воздухоотводчик. 
Отопительный котел работает от трехфазной сети напряжением 380В.
Котел электрический отопительный Комфорт MK – это надежное и экономичное решение для обогрева помещений любого типа. Благодаря своей функциональности и простоте использования, котел станет незаменимым помощником в создании комфортной атмосферы в вашем доме или офисе.
Котлы отопления от Российского производителя, гарантия качества.
В  наличии большой ассортимент электрокотлов, разной комплектации. Переходите в наш магазин и подберите котел отопления согласно ваших требований.","{""Страна производства"": ""Россия"", ""Температура горячей воды (°C)"": ""35 C"", ""Рекомендуемая площадь помещения (кв.м)"": ""180 кв. м"", ""Газ-контроль"": ""нет"", ""Автоподжиг"": ""нет"", ""Потребляемая мощность"": ""18 Вт"", ""Тепловая мощность"": ""18 кВт"", ""Варианты установки"": ""настенный"", ""Тип камеры сгорания"": ""нет"", ""Тип отопительного котла"": ""электрический"", ""Количество контуров"": ""1; одноконтурный"", ""Глубина предмета"": ""30 см"", ""Ширина предмета"": ""40 см"", ""Вес с упаковкой (кг)"": ""27 кг"", ""Вес без упаковки (кг)"": ""25 кг"", ""Высота предмета"": ""58 см"", ""Длина упаковки"": ""46 см"", ""Высота упаковки"": ""70 см"", ""Ширина упаковки"": ""34 см"", ""Модель"": ""Комфорт МК"", ""Гарантийный срок"": ""1.5 года""}"
Электрический котел отопления Комфорт МК 15 кВт,56661,101000,,0,"Электрический котел Интоис Комфорт МК – это надежный и эффективный отопительный электрокотел, который предназначен для обогрева индивидуальных жилых домов, дачных домиков, торговых и офисных помещений, а также других зданий и сооружений. Основные характеристики котла: Тепловая мощность: 15 кВт.; Ступени переключения: 3 кВт х 5; Площадь отапливаемого помещения: до 150 м2; Вид управления: механический; Давление рабочее: до 3 атм; Циркуляционный насос: 25/40; Расширительный бак: 6 л.; Присоединительные размеры патрубков: 1''.
Преимущества котла для отопления дома: Регулировка температуры воздуха от +5°С до +35°С.; Схема защиты блока управления от перенапряжения сети.; Установлены датчики температуры теплоносителя, воздуха в помещении который позволяет оптимизировать работу котла и повысить его энергоэффективность.; Есть возможность работы с датчиком температуры ГВС (приобретаются отдельно).
Котел мощностью 15 кВт имеет компактные размеры (40х58х30 см) и небольшой вес (25 кг), что позволяет легко установить его в любом помещении. Встроенный циркуляционный насос обеспечивает быстрый прогрев теплоносителя и равномерное распределение тепла по всей системе отопления.
Группа безопасности: предохранительный сбросной клапан, манометр, воздухоотводчик. 
Отопительный котел работает от трехфазной сети напряжением 380В.
Котел электрический отопительный Комфорт MK – это надежное и экономичное решение для обогрева помещений любого типа. Благодаря своей функциональности и простоте использования, котел станет незаменимым помощником в создании комфортной атмосферы в вашем доме или офисе.
Котлы отопления от Российского производителя, гарантия качества.
В  наличии большой ассортимент электрокотлов, разной комплектации. Переходите в наш магазин и подберите котел отопления согласно ваших требований.","{""Тип камеры сгорания"": ""нет"", ""Количество контуров"": ""1; одноконтурный"", ""Температура горячей воды (°C)"": ""35 C"", ""Варианты установки"": ""настенный"", ""Рекомендуемая площадь помещения (кв.м)"": ""150 кв. м"", ""Газ-контроль"": ""нет"", ""Тепловая мощность"": ""15 кВт"", ""Потребляемая мощность"": ""15 Вт"", ""Тип отопительного котла"": ""электрический"", ""Автоподжиг"": ""нет"", ""Страна производства"": ""Россия"", ""Модель"": ""Комфорт МК"", ""Гарантийный срок"": ""1.5 года"", ""Ширина предмета"": ""40 см"", ""Вес без упаковки (кг)"": ""25 кг"", ""Высота предмета"": ""58 см"", ""Вес с упаковкой (кг)"": ""27 кг"", ""Глубина предмета"": ""30 см"", ""Длина упаковки"": ""46 см"", ""Высота упаковки"": ""70 см"", ""Ширина упаковки"": ""34 см""}"
Электрический котел отопления Комфорт МК 9 кВт,53687,95700,,0,"Электрический котел Интоис Комфорт МК – это надежный и эффективный отопительный электрокотел, который предназначен для обогрева индивидуальных жилых домов, дачных домиков, торговых и офисных помещений, а также других зданий и сооружений. Основные характеристики котла: Тепловая мощность: 9 кВт.; Ступени переключения: 3 кВт х 3; Площадь отапливаемого помещения: до 90 м2; Вид управления: механический; Давление рабочее: до 3 атм; Циркуляционный насос: 25/40; Расширительный бак: 6 л.; Присоединительные размеры патрубков: 1''.
Преимущества котла для отопления дома: Регулировка температуры воздуха от +5°С до +35°С.; Схема защиты блока управления от перенапряжения сети.; Установлены датчики температуры теплоносителя, воздуха в помещении который позволяет оптимизировать работу котла и повысить его энергоэффективность.; Есть возможность работы с датчиком температуры ГВС (приобретаются отдельно).
Котел мощностью 9 кВт имеет компактные размеры (40х58х30 см) и небольшой вес (25 кг), что позволяет легко установить его в любом помещении. Встроенный циркуляционный насос обеспечивает быстрый прогрев теплоносителя и равномерное распределение тепла по всей системе отопления.
Группа безопасности: предохранительный сбросной клапан, манометр, воздухоотводчик. 
Отопительный котел работает от трехфазной сети напряжением 380В.
Котел электрический отопительный Комфорт MK – это надежное и экономичное решение для обогрева помещений любого типа. Благодаря своей функциональности и простоте использования, котел станет незаменимым помощником в создании комфортной атмосферы в вашем доме или офисе.
Котлы отопления от Российского производителя, гарантия качества.
В  наличии большой ассортимент электрокотлов, разной комплектации. Переходите в наш магазин и подберите котел отопления согласно ваших требований.","{""Температура горячей воды (°C)"": ""35 C"", ""Варианты установки"": ""настенный"", ""Количество контуров"": ""1; одноконтурный"", ""Тип камеры сгорания"": ""нет"", ""Газ-контроль"": ""нет"", ""Автоподжиг"": ""нет"", ""Тип отопительного котла"": ""электрический"", ""Потребляемая мощность"": ""9 Вт"", ""Рекомендуемая площадь помещения (кв.м)"": ""90 кв. м"", ""Тепловая мощность"": ""9 кВт"", ""Страна производства"": ""Россия"", ""Гарантийный срок"": ""1.5 года"", ""Модель"": ""Комфорт МК"", ""Вес с упаковкой (кг)"": ""27 кг"", ""Глубина предмета"": ""30 см"", ""Ширина предмета"": ""40 см"", ""Вес без упаковки (кг)"": ""25 кг"", ""Высота предмета"": ""58 см"", ""Длина упаковки"": ""46 см"", ""Высота упаковки"": ""70 см"", ""Ширина упаковки"": ""34 см""}"
